구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고,1차 개발,2차 개발
9,지도자 매칭,AI매칭,AI매칭시스템,지도자 AI 매칭,AI 기반 지도자 매칭 시스템,홈 → AI매칭시스템 → AI 매칭,AI 매칭,AI 알고리즘,매칭 중,AI 알고리즘,,O
9,지도자 매칭,AI매칭,매칭로딩,매칭 로딩,AI 매칭 진행 중 로딩,AI매칭시스템 → 매칭로딩 → 로딩 표시,매칭 로딩,로딩 UI,로딩 중,로딩 UI,,O
9,지도자 매칭,AI매칭,완료리스트,매칭 완료 리스트,AI 매칭 결과 리스트,매칭로딩 → 완료리스트 → 결과 표시,매칭 결과,결과 목록,결과 표시,결과 표시,,O
9,지도자 매칭,AI매칭,매칭완료,매칭 완료,AI 매칭 성공,완료리스트 → 매칭완료 → 매칭 성공,매칭 완료,확인 화면,매칭 완료,매칭 결과,,O
10,위치 서비스,위치관리,위치권한,위치 권한,GPS 위치 권한 요청,앱 실행 → 위치권한 → 권한 요청,위치 권한,권한 요청,권한 대기,권한 관리,O,
10,위치 서비스,위치관리,현재위치,현재 위치,현재 위치 기반 서비스,위치권한 → 현재위치 → GPS 연동,현재 위치,GPS 연동,위치 확인,GPS 연동,O,
10,위치 서비스,위치관리,위치설정,위치 설정,사용자 위치 설정,현재위치 → 위치설정 → 위치 설정,위치 설정,위치 선택,설정 중,위치 설정,O,
11,알림 시스템,푸시알림,알림설정,알림 권한,푸시 알림 권한 요청,앱 실행 → 알림설정 → 권한 요청,알림 권한,권한 요청,권한 대기,권한 관리,O,
11,알림 시스템,푸시알림,알림발송,서버 푸시,서버에서 푸시 알림 발송,서버 → 알림발송 → 푸시 발송,서버 푸시,FCM/APNS,발송 중,FCM/APNS 연동,O,
11,알림 시스템,푸시알림,알림클릭,알림 클릭,알림 클릭 시 화면 이동,알림발송 → 알림클릭 → 화면 이동,알림 클릭,딥링크,화면 이동,딥링크,O,
12,데이터 관리,캐싱,로컬캐시,로컬 저장,앱 내 데이터 저장,앱 실행 → 로컬캐시 → 데이터 저장,로컬 데이터,SQLite/CoreData,저장 중,SQLite/CoreData,O,
12,데이터 관리,캐싱,오프라인,오프라인 모드,인터넷 없이 기본 기능 사용,네트워크 없음 → 오프라인 → 기본 기능,오프라인 데이터,로컬 저장,오프라인 모드,오프라인 동기화,O,
12,데이터 관리,동기화,데이터동기화,데이터 동기화,서버와 로컬 데이터 동기화,네트워크 복구 → 데이터동기화 → 동기화,데이터 동기화,동기화 로직,동기화 중,동기화 로직,O,
13,보안,인증,보안인증,자동 로그인,토큰 기반 자동 로그인,앱 실행 → 자동 로그인 → 토큰 확인,자동 로그인,JWT 토큰,로그인 중,JWT 토큰,O,
13,보안,암호화,데이터암호화,데이터 암호화,민감한 데이터 암호화 저장,데이터 저장 → 데이터암호화 → 암호화,암호화 데이터,암호화 알고리즘,암호화 중,보안 필수,O,
13,보안,암호화,통신암호화,통신 암호화,HTTPS 통신,네트워크 통신 → 통신암호화 → HTTPS,통신 암호화,SSL/TLS,암호화 중,SSL/TLS,O,
13,보안,권한관리,앱권한,카메라 권한,카메라 사용 권한,카메라 사용 → 앱권한 → 권한 요청,카메라 권한,권한 요청,권한 대기,권한 요청,O,
13,보안,권한관리,앱권한,위치 권한,GPS 위치 권한,위치 사용 → 앱권한 → 권한 요청,위치 권한,권한 요청,권한 대기,권한 요청,O,
13,보안,권한관리,앱권한,알림 권한,푸시 알림 권한,알림 사용 → 앱권한 → 권한 요청,알림 권한,권한 요청,권한 대기,권한 요청,O,
14,성능 최적화,최적화,앱성능,이미지 최적화,이미지 압축 및 리사이징,이미지 로드 → 이미지 최적화 → 압축,이미지 최적화,압축 알고리즘,최적화 중,메모리 절약,O,
14,성능 최적화,최적화,앱성능,로딩 최적화,화면 로딩 속도 개선,화면 전환 → 로딩 최적화 → 속도 개선,로딩 최적화,로딩 알고리즘,최적화 중,사용자 경험,O,
14,성능 최적화,최적화,앱성능,메모리 관리,메모리 누수 방지,앱 실행 → 메모리 관리 → 누수 방지,메모리 관리,메모리 모니터링,관리 중,앱 안정성,O,
14,성능 최적화,모니터링,앱모니터링,크래시 리포트,앱 크래시 자동 리포트,앱 크래시 → 앱모니터링 → 리포트,크래시 리포트,자동 리포트,리포트 중,버그 추적,O,
15,업데이트,앱업데이트,자동업데이트,앱 버전 체크,서버에서 최신 버전 확인,앱 실행 → 앱 버전 체크 → 버전 확인,앱 버전,버전 체크,체크 중,업데이트 체크,O,
15,업데이트,앱업데이트,자동업데이트,강제 업데이트,필수 업데이트 강제 안내,버전 체크 → 강제 업데이트 → 업데이트 안내,강제 업데이트,업데이트 안내,안내 중,보안 업데이트,O,
15,업데이트,앱업데이트,자동업데이트,업데이트 다운로드,앱스토어로 업데이트 이동,강제 업데이트 → 업데이트 다운로드 → 스토어 이동,업데이트 다운로드,스토어 연동,다운로드 중,스토어 연동 ,O,
