개발 구분,구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고
1차,5,분석 및 리포트,사용자 분석,사용자 성장률,성장률 분석 화면,사용자 증가율 분석,분석 → 사용자 분석 → 성장률 분석,성장률 데이터,성장률 분석,분석 중,성장률 분석
1차,5,분석 및 리포트,사용자 분석,사용자 활동 분석,활동 분석 화면,사용자 활동 패턴 분석,분석 → 사용자 분석 → 활동 분석,활동 데이터,활동 분석,분석 중,활동 분석
1차,5,분석 및 리포트,서비스 분석,서비스 사용률,사용률 분석 화면,서비스 기능 사용률,분석 → 서비스 분석 → 사용률 분석,사용률 데이터,사용률 분석,분석 중,사용률 분석
1차,5,분석 및 리포트,서비스 분석,시설 분석,시설 분석 화면,시설 등록/이용 분석,분석 → 서비스 분석 → 시설 분석,시설 데이터,시설 분석,분석 중,시설 분석
1차,5,분석 및 리포트,서비스 분석,문의 분석,문의 분석 화면,문의/답변 분석,분석 → 서비스 분석 → 문의 분석,문의 데이터,문의 분석,분석 중,문의 분석
1차,5,분석 및 리포트,리포트 생성,일일 리포트,일일 리포트 화면,일일 운영 리포트,분석 → 리포트 → 일일 리포트 생성,리포트 데이터,리포트 생성,리포트 생성 중,일일 리포트
1차,5,분석 및 리포트,리포트 생성,주간 리포트,주간 리포트 화면,주간 운영 리포트,분석 → 리포트 → 주간 리포트 생성,리포트 데이터,리포트 생성,리포트 생성 중,주간 리포트
1차,5,분석 및 리포트,리포트 생성,월간 리포트,월간 리포트 화면,월간 운영 리포트,분석 → 리포트 → 월간 리포트 생성,리포트 데이터,리포트 생성,리포트 생성 중,월간 리포트
1차,6,관리자 대시보드,대시보드 메인,대시보드 조회,관리자 웹 대시보드,관리자 웹 대시보드 메인,관리자 웹 로그인 → 웹 대시보드 표시,대시보드 데이터,웹 화면 표시,대시보드 표시 중,웹 대시보드
1차,6,관리자 대시보드,대시보드 메인,실시간 통계,실시간 통계 화면,실시간 서비스 통계,대시보드 → 실시간 통계 → 통계 표시,통계 데이터,통계 표시,통계 조회 중,실시간 통계
1차,6,관리자 대시보드,대시보드 메인,알림 관리,알림 관리 화면,관리자 알림 관리,대시보드 → 알림 관리 → 알림 처리,알림 데이터,알림 처리,알림 처리 중,알림 관리
