개발 구분,구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고
1차,3,1:1 문의 답변,문의 관리,답변 수정,답변 수정 폼,기존 답변 수정,문의 상세 → 답변 수정 → 답변 변경,답변 데이터,텍스트 입력,수정 중,답변 수정
1차,3,1:1 문의 답변,문의 관리,답변 삭제,답변 삭제 확인,답변 삭제,문의 상세 → 답변 삭제 → 삭제 확인,답변 데이터,삭제 확인,삭제 중,답변 삭제
1차,3,1:1 문의 답변,답변 관리,답변 내역 조회,답변 내역 화면,내가 답변한 문의 목록 확인,마이페이지 → 답변 내역 → 답변 목록,답변 데이터,리스트 표시,답변 상태 관리,답변 관리
1차,3,1:1 문의 답변,답변 관리,답변 통계 조회,답변 통계 화면,답변 현황 통계 확인,마이페이지 → 답변 통계 → 통계 차트,통계 데이터,차트 표시,통계 조회 중,통계 기능
1차,3,1:1 문의 답변,답변 관리,답변 품질 관리,답변 품질 화면,답변 품질 평가 및 관리,답변 내역 → 품질 관리 → 품질 평가,품질 데이터,평가 입력,품질 관리 중,품질 관리
1차,3,1:1 문의 답변,답변 작성,답변 작성 폼,답변 작성 화면,문의에 대한 답변 작성,문의 상세 → 답변하기 → 답변 작성,답변 데이터,텍스트 입력,답변 작성 중,답변 작성
1차,3,1:1 문의 답변,답변 작성,답변 임시저장,임시저장 기능,답변을 임시로 저장,답변 작성 → 임시저장 → 나중에 이어서 작성,임시 데이터,저장 기능,임시저장 중,임시저장 기능
1차,3,1:1 문의 답변,답변 작성,답변 템플릿,템플릿 관리 화면,자주 사용하는 답변 템플릿,답변 작성 → 템플릿 선택 → 템플릿 적용,템플릿 데이터,템플릿 선택,템플릿 관리 중,템플릿 기능
1차,4,마이페이지,지도자 프로필,지도자 정보 조회,지도자 프로필 화면,지도자 기본 정보 확인,마이페이지 → 지도자 정보,지도자 데이터,화면 표시,로그인 중,기본 정보 표시
1차,4,마이페이지,지도자 프로필,지도자 정보 수정,지도자 정보 수정 폼,지도자 정보 수정,지도자 정보 → 수정 → 정보 변경,지도자 데이터,폼 입력,수정 중,기본 CRUD
1차,4,마이페이지,지도자 프로필,자격증 관리,자격증 관리 화면,자격증 정보 관리,지도자 정보 → 자격증 → 자격증 관리,자격증 데이터,파일 관리,수정 중,자격증 관리
1차,4,마이페이지,지도자 설정,지도자 권한,권한 관리 화면,지도자 권한 관리,마이페이지 → 권한 관리 → 권한 설정,권한 데이터,권한 설정,권한 관리 중,권한 관리
1차,4,마이페이지,지도자 설정,알림 설정,알림 설정 화면,지도자 전용 알림 설정,마이페이지 → 알림 설정 → 지도자 알림,알림 설정,토글 스위치,설정 중,알림 설정
1차,4,마이페이지,지도자 설정,지도자 문의,지도자 문의 폼,지도자 전용 문의 기능,마이페이지 → 지도자 문의 → 문의 작성,문의 데이터,폼 입력,문의 중,문의 시스템
1차,5,알림,지도자 알림,문의 알림,푸시 알림,새 1:1 문의 접수 알림,새 문의 접수 → 푸시 알림 수신,알림 데이터,푸시 API,알림 상태 관리,문의 알림
1차,5,알림,지도자 알림,시스템 알림,푸시 알림,시스템 공지 업데이트 알림,시스템 알림 → 푸시 알림 수신,알림 데이터,푸시 API,알림 상태 관리,시스템 알림
1차,5,알림,지도자 알림,답변 피드백 알림,푸시 알림,답변에 대한 피드백 알림,답변 피드백 → 푸시 알림 수신,알림 데이터,푸시 API,알림 상태 관리,피드백 알림
